id,name,display_name_ko,brand,category,country,ingredients,claims,suited_skin_types,concerns,avoid_for,price_usd,rating,review_count,source_url,ingredient_source_url,verified_at,image_url,image_verified_source,image_source_type,image_confidence,image_view_type,oliveyoung_url,oliveyoung_price_krw,official_url,texture_tags,oliveyoung_verified_at
cosrx-low-ph-good-morning-gel-cleanser,COSRX Low pH Good Morning Gel Cleanser,COSRX 약산성 굿모닝 젤 클렌저,COSRX,cleanser,Korea,Water|Cocamidopropyl Betaine|Sodium Lauroyl Methyl Isethionate|Butylene Glycol|Tea Tree Leaf Oil|Allantoin|Betaine Salicylate|Citric Acid,low pH|gel cleanser|lightweight,oily|combination|normal,oil_control|acne|clogged_pores,,12.0,4.2,189,https://www.cosrx.com/products/low-ph-good-morning-gel-cleanser,https://incidecoder.com/products/cosrx-low-ph-good-morning-gel-cleanser,2026-05-04,https://cdn.shopify.com/s/files/1/0513/3775/6828/files/low-ph-good-morning-gel-cleanser-cosrx-official-1.jpg?v=1768785801,https://www.cosrx.com/products/low-ph-good-morning-gel-cleanser,official,verified,single_product,https://www.oliveyoung.co.kr/store/search/getSearchMain.do?query=COSRX%20%EB%A1%9C%EC%9A%B0%20pH%20%EA%B5%BF%EB%AA%A8%EB%8B%9D%20%EC%A0%A4%20%ED%81%B4%EB%A0%8C%EC%A0%80,14000,https://www.cosrx.com/products/low-ph-good-morning-gel-cleanser,gel|lightweight,2026-05-10 00:00 KST
anua-heartleaf-77-soothing-toner,Anua Heartleaf 77% Soothing Toner,아누아 어성초 77 수딩 토너,Anua,toner,Korea,Houttuynia Cordata Extract|Water|Glycerin|Betaine|Panthenol|Portulaca Oleracea Extract|Butylene Glycol|Centella Asiatica Extract,soothing|fragrance-free|watery,sensitive|oily|combination|normal,redness|barrier_support|hydration,,22.0,4.24,1391,https://anua.com/products/heartleaf-77-soothing-toner,https://incidecoder.com/products/anua-heartleaf-77-soothing-toner,2026-05-04,https://cdn.shopify.com/s/files/1/0753/1429/9158/files/anua-us-toner-heartleaf-77-soothing-toner-1161173062.png?v=1746609345,https://anua.com/products/heartleaf-77-soothing-toner,official,verified,single_product,https://www.oliveyoung.co.kr/store/search/getSearchMain.do?query=%EC%95%84%EB%88%84%EC%95%84%20%EC%96%B4%EC%84%B1%EC%B4%8877%20%EC%88%98%EB%94%A9%20%ED%86%A0%EB%84%88,26000,https://anua.com/products/heartleaf-77-soothing-toner,watery|lightweight|dewy,2026-05-10 00:00 KST
etude-soonjung-2x-barrier-intensive-cream,ETUDE SoonJung 2x Barrier Intensive Cream,에뛰드 순정 2x 베리어 인텐시브 크림,ETUDE,moisturizer,Korea,Water|Glycerin|Panthenol|Madecassoside|Shea Butter|Sunflower Seed Oil,barrier support|fragrance-free|rich texture,dry|sensitive|normal|combination,barrier_support|hydration|redness|dryness,oily,18.0,4.5,820,https://www.ulta.com/p/soonjung-2x-barrier-intensive-cream-pimprod2049666,https://incidecoder.com/products/etude-house-soon-jung-2x-barrier-intensive-cream,2026-05-04,https://dn5hzapyfrpio.cloudfront.net/product/553/5535e270-8dd4-11eb-b775-2b7416b0ba6a.jpeg,https://glowpick.co.kr/product/89298,glowpick,verified,single_product,https://www.oliveyoung.co.kr/store/search/getSearchMain.do?query=%EC%97%90%EB%9B%B0%EB%93%9C%20%EC%88%9C%EC%A0%95%202x%20%EB%B2%A0%EB%A6%AC%EC%96%B4%20%EC%9D%B8%ED%85%90%EC%8B%9C%EB%B8%8C%20%ED%81%AC%EB%A6%BC,23000,https://www.etude.com/int/en/index.php/soonjung-2x-barrier-intensive-cream-60ml-21ad.html,rich|cream|dewy,2026-05-10 00:00 KST
skin1004-madagascar-centella-ampoule,SKIN1004 Madagascar Centella Ampoule,스킨1004 마다가스카르 센텔라 앰플,SKIN1004,serum,Korea,Water|Glycerin|Butylene Glycol|Centella Asiatica Extract,minimal formula|fragrance-free|watery,sensitive|combination|normal|dry,redness|barrier_support|hydration,,17.0,4.6,2100,https://www.skin1004.com/products/skin1004-madagascar-centella-ampoule,https://incidecoder.com/products/skin1004-madagascar-centella-ampoule,2026-05-04,https://cdn.shopify.com/s/files/1/0590/4538/0253/products/skin1004-ampoule-serum-centella-ampoule-38642800132342.png?v=1677148695,https://www.skin1004.com/products/skin1004-madagascar-centella-ampoule,official,verified,single_product,https://www.oliveyoung.co.kr/store/search/getSearchMain.do?query=%EC%8A%A4%ED%82%A81004%20%EB%A7%88%EB%8B%A4%EA%B0%80%EC%8A%A4%EC%B9%B4%EB%A5%B4%20%EC%84%BC%ED%85%94%EB%9D%BC%20%EC%95%B0%ED%94%8C,23000,https://www.skin1004.com/products/skin1004-madagascar-centella-ampoule,watery|lightweight,2026-05-10 00:00 KST
isntree-hyaluronic-acid-watery-sun-gel,Isntree Hyaluronic Acid Watery Sun Gel,이즈앤트리 히알루론산 워터리 선 젤,Isntree,sunscreen,Korea,Water|Butylene Glycol|Niacinamide|Ceramide NP|Centella Asiatica Extract|Glycerin|Sodium Hyaluronate|Hyaluronic Acid,spf50|hydrating|watery,dry|normal|combination|oily,hydration|barrier_support|hyperpigmentation,,24.0,4.5,1600,https://isntree-global.com/products/isntree-hyaluronic-acid-watery-sun-gel-50ml,https://incidecoder.com/products/isntree-hyaluronic-acid-watery-sun-gel-spf50-2025,2026-05-04,https://cdn.shopify.com/s/files/1/0685/1762/5926/files/Thum_Hyaluronic_Acid_Watery_Sun_Gel.png?v=1776406101,https://isntree-global.com/products/isntree-hyaluronic-acid-watery-sun-gel-50ml,official,verified,single_product,https://www.oliveyoung.co.kr/store/search/getSearchMain.do?query=%EC%9D%B4%EC%A6%88%EC%95%A4%ED%8A%B8%EB%A6%AC%20%ED%9E%88%EC%95%8C%EB%A3%A8%EB%A1%A0%EC%82%B0%20%EC%9B%8C%ED%84%B0%EB%A6%AC%20%EC%84%A0%EC%A0%A4,18900,https://isntree-global.com/products/isntree-hyaluronic-acid-watery-sun-gel-50ml,watery|lightweight|dewy,2026-05-10 00:00 KST
cosrx-advanced-snail-96-mucin-power-essence,COSRX Advanced Snail 96 Mucin Power Essence,COSRX 어드밴스드 스네일 96 뮤신 파워 에센스,COSRX,serum,Korea,Snail Secretion Filtrate|Betaine|Panthenol|Sodium Hyaluronate|Allantoin,hydration|barrier support|light serum texture,dry|sensitive|normal|combination,hydration|barrier_support|redness,snail_allergy,25.0,4.4,2400,https://www.cosrx.com/products/advanced-snail-96-mucin-power-essence,https://incidecoder.com/products/cosrx-advanced-snail-96-mucin-power-essence,2026-05-04,https://cdn.shopify.com/s/files/1/0513/3775/6828/files/advanced-snail-96-mucin-power-essence-cosrx-official-10.jpg?v=1763111577,https://www.cosrx.com/products/advanced-snail-96-mucin-power-essence,official,verified,single_product,https://www.oliveyoung.co.kr/store/search/getSearchMain.do?query=COSRX%20%EC%8A%A4%EB%82%98%EC%9D%BC%2096%20%EB%AE%A4%EC%8B%A0%20%EC%97%90%EC%84%BC%EC%8A%A4,24000,https://www.cosrx.com/products/advanced-snail-96-mucin-power-essence,lightweight|dewy,2026-05-10 00:00 KST
beauty-of-joseon-relief-sun-rice-probiotics,Beauty of Joseon Relief Sun Rice + Probiotics,조선미녀 맑은쌀 선크림,Beauty of Joseon,sunscreen,Korea,Rice Extract|Glycerin|Niacinamide|Green Tea Extract|Probiotic Ferment,spf50|daily sunscreen|hydrating,normal|dry|combination,hydration|barrier_support|hyperpigmentation,,18.0,4.6,3100,https://incidecoder.com/products/beauty-of-joseon-relief-sun,https://incidecoder.com/products/beauty-of-joseon-relief-sun,2026-05-04,https://beautyofjoseon.com/cdn/shop/files/1_a04fd9eb-14cf-44a0-99df-f43b748820f1.png?v=1738453603,https://beautyofjoseon.com/products/relief-sun-rice-probiotics,official,verified,single_product,https://www.oliveyoung.co.kr/store/search/getSearchMain.do?query=%EC%A1%B0%EC%84%A0%EB%AF%B8%EB%85%80%20%EB%A7%91%EC%9D%80%EC%8C%80%20%EC%84%A0%ED%81%AC%EB%A6%BC,18000,https://beautyofjoseon.com/products/relief-sun-rice-probiotics,cream|dewy,2026-05-10 00:00 KST
axis-y-dark-spot-correcting-glow-serum,AXIS-Y Dark Spot Correcting Glow Serum,액시스와이 다크 스팟 코렉팅 글로우 세럼,AXIS-Y,serum,Korea,Water|Niacinamide|Squalane|Rice Bran Extract|Calendula Extract|Papaya Extract|Sea Buckthorn Extract|Allantoin,tone care|glow|light serum,oily|combination|normal,hyperpigmentation|barrier_support,sensitive,22.0,4.3,980,https://www.axis-y.com/products/dark-spot-correcting-glow-serum,https://incidecoder.com/products/axis-y-dark-spot-correcting-glow-serum,2026-05-04,https://cdn.shopify.com/s/files/1/0578/0157/2530/files/Glow_Serum.png?v=1758164930,https://www.axis-y.com/products/dark-spot-correcting-glow-serum,official,verified,single_product,https://www.oliveyoung.co.kr/store/search/getSearchMain.do?query=AXIS-Y%20%EB%8B%A4%ED%81%AC%EC%8A%A4%ED%8C%9F%20%EA%B8%80%EB%A1%9C%EC%9A%B0%20%EC%84%B8%EB%9F%BC,24000,https://www.axis-y.com/products/dark-spot-correcting-glow-serum,lightweight|dewy,2026-05-10 00:00 KST
round-lab-1025-dokdo-cleanser,Round Lab 1025 Dokdo Cleanser,라운드랩 1025 독도 클렌저,Round Lab,cleanser,Korea,Water|Glycerin|Sodium Cocoyl Isethionate|Cocamidopropyl Betaine|Sea Water|Panthenol|Allantoin|Ceramide NP,low pH|foam cleanser|gentle,oily|combination|normal|sensitive,oil_control|hydration|barrier_support,,15.0,4.5,1800,https://roundlab.com/products/1025-dokdo-cleanser,https://incidecoder.com/products/round-lab-1025-dokdo-cleanser,2026-05-12,https://roundlab.com/cdn/shop/files/Dokdo_cleanser_renewed.webp?v=1772852868,https://roundlab.com/products/1025-dokdo-cleanser,official,verified,single_product,https://www.oliveyoung.co.kr/store/search/getSearchMain.do?query=%EB%9D%BC%EC%9A%B4%EB%93%9C%EB%9E%A9%201025%20%EB%8F%85%EB%8F%84%20%ED%81%B4%EB%A0%8C%EC%A0%80,15000,https://roundlab.com/products/1025-dokdo-cleanser,foam|lightweight,2026-05-12 00:00 KST
manyo-pure-cleansing-oil,ma:nyo Pure Cleansing Oil,마녀공장 퓨어 클렌징 오일,ma:nyo,cleanser,Korea,Ethylhexyl Palmitate|Sorbeth-30 Tetraoleate|Caprylic/Capric Triglyceride|Oryza Sativa Bran Oil|Jojoba Seed Oil|Tea Tree Leaf Oil,cleansing oil|makeup removal|lightweight,oily|combination|normal|dry,oil_control|clogged_pores,sensitive,29.0,4.6,2200,https://manyo.us/products/pure-cleansing-oil,https://incidecoder.com/products/manyo-factory-pure-cleansing-oil,2026-05-12,https://manyo.us/cdn/shop/files/Screenshot_2025-10-13_at_2.50.12_PM.png?v=1760392230,https://manyo.us/products/pure-cleansing-oil,official,verified,single_product,https://www.oliveyoung.co.kr/store/search/getSearchMain.do?query=%EB%A7%88%EB%85%80%EA%B3%B5%EC%9E%A5%20%ED%93%A8%EC%96%B4%20%ED%81%B4%EB%A0%8C%EC%A7%95%20%EC%98%A4%EC%9D%BC,29000,https://manyo.us/products/pure-cleansing-oil,oil|lightweight,2026-05-12 00:00 KST
