product_id,summary,summary_en,common_positives,common_cautions,source_url,verified_at
cosrx-low-ph-good-morning-gel-cleanser,큐레이션 리뷰 신호: 지성/복합성 피부에서 가벼운 젤 클렌징으로 언급되는 편입니다. 티트리와 살리실레이트 계열 성분은 매우 예민한 피부에는 부담이 될 수 있습니다.,Curated review signal: Often mentioned as a lightweight gel cleanser for oily and combination skin. Tea tree and salicylate-related ingredients may feel harsh on very sensitive skin.,가벼움|세정력|유분 케어,건조감 가능|에센셜오일 민감 주의,https://www.cosrx.com/products/low-ph-good-morning-gel-cleanser,2026-05-04
anua-heartleaf-77-soothing-toner,큐레이션 리뷰 신호: 진정과 붉은기 루틴에서 자주 선택됩니다. 매우 건조한 피부에는 보습감이 약하게 느껴질 수 있습니다.,Curated review signal: Frequently chosen for soothing and redness-focused routines. Very dry skin may find it less moisturizing than richer options.,진정|가벼움|향료 프리,건성 피부에는 리치하지 않을 수 있음,https://anuakorea.com/collections/shop-moisturizers/products/heartleaf-77-soothing-toner,2026-05-04
etude-soonjung-2x-barrier-intensive-cream,큐레이션 리뷰 신호: 민감성/건성 피부의 장벽 케어 크림으로 자주 쓰입니다. 리치한 제형이라 지성 피부에는 무겁게 느껴질 수 있습니다.,Curated review signal: Commonly used as a barrier-care cream for sensitive and dry skin. The rich texture may feel heavy for oily skin.,장벽 케어|순함|리치한 제형,지성 피부에는 무거울 수 있음,https://www.ulta.com/p/soonjung-2x-barrier-intensive-cream-pimprod2049666,2026-05-04
skin1004-madagascar-centella-ampoule,큐레이션 리뷰 신호: 민감성 루틴에서 진정 단계로 쓰기 좋은 단순한 병풀 앰플로 언급됩니다.,Curated review signal: Often described as a simple centella ampoule that fits the soothing step in sensitive-skin routines.,가벼움|진정|단순 처방,강한 활성 성분을 원하면 단순하게 느껴질 수 있음,https://skin1004.com,2026-05-04
isntree-hyaluronic-acid-watery-sun-gel,큐레이션 리뷰 신호: 수분감 있는 선크림 제형입니다. 화학 자외선 차단 성분에 민감한 사용자는 패치 테스트가 좋습니다.,Curated review signal: Positioned as a hydrating sunscreen texture. Users sensitive to chemical UV filters should patch test first.,수분감|데일리 선크림|백탁 적음,화학 필터 민감 가능,https://www.isntree.com,2026-05-04
cosrx-advanced-snail-96-mucin-power-essence,큐레이션 리뷰 신호: 수분과 장벽 보조 포지셔닝이 강합니다. 달팽이 또는 갑각류/연체동물 알러지 우려가 있으면 피하는 편이 안전합니다.,"Curated review signal: Strongly positioned for hydration and barrier support. Avoid it if snail, shellfish, or mollusk allergy is a concern.",수분감|장벽 보조|가벼운 세럼감,달팽이 성분 알러지 주의,https://www.cosrx.com/products/advanced-snail-96-mucin-power-essence,2026-05-04
beauty-of-joseon-relief-sun-rice-probiotics,큐레이션 리뷰 신호: 촉촉한 마무리의 데일리 선크림으로 언급됩니다. 매우 지성인 사용자는 더 산뜻한 젤 타입을 선호할 수 있습니다.,Curated review signal: Mentioned as a daily sunscreen with a dewy finish. Very oily skin may prefer a lighter gel-type sunscreen.,데일리 선크림|수분감|편안한 제형,지성 피부에는 윤광이 부담될 수 있음,https://beautyofjoseon.com,2026-05-04
axis-y-dark-spot-correcting-glow-serum,큐레이션 리뷰 신호: 나이아신아마이드 중심의 톤 케어 세럼입니다. 민감성 피부는 따가움이 있을 수 있어 패치 테스트가 좋습니다.,"Curated review signal: A niacinamide-centered tone-care serum. Sensitive skin may experience stinging, so patch testing is recommended.",톤 케어|나이아신아마이드|가벼운 세럼,민감 피부 따가움 가능,https://www.axis-y.com,2026-05-04
round-lab-1025-dokdo-cleanser,큐레이션 리뷰 신호: 약산성 폼 클렌저로 데일리 세안과 유분 케어에 자주 선택됩니다. 건성 피부는 세안 후 보습을 바로 이어가는 편이 좋습니다.,Curated review signal: A low-pH foam cleanser often chosen for daily cleansing and oil control. Dry skin should follow quickly with hydration.,약산성|개운함|데일리 세안,건성 피부 건조감 가능,https://roundlab.com/products/1025-dokdo-cleanser,2026-05-12
manyo-pure-cleansing-oil,큐레이션 리뷰 신호: 메이크업과 선크림 세정용 클렌징 오일로 언급됩니다. 티트리 오일에 민감한 피부는 패치 테스트가 좋습니다.,Curated review signal: Often mentioned as a cleansing oil for makeup and sunscreen removal. Tea tree-sensitive skin should patch test.,메이크업 세정|오일 클렌징|노폐물 케어,티트리 민감 주의,https://manyo.us/products/pure-cleansing-oil,2026-05-12
banila-co-clean-it-zero-cleansing-balm,큐레이션 리뷰 신호: 밤 제형의 1차 세안 제품으로 사용감이 편하다는 반응이 많습니다. 민감성 피부는 식물 추출물 조합을 확인하는 편이 좋습니다.,Curated review signal: A balm first-cleanse option often praised for easy use. Sensitive skin should review the botanical extract blend.,밤 제형|메이크업 세정|부드러운 사용감,민감 피부 식물 추출물 주의,https://banilausa.com/products/clean-it-zero-cleansing-balm-original,2026-05-12
torriden-dive-in-cleansing-foam,큐레이션 리뷰 신호: 히알루론산 기반의 촉촉한 폼 클렌저로 건조감이 덜한 세안을 찾을 때 선택됩니다.,Curated review signal: A hyaluronic-acid foam cleanser chosen when users want cleansing with less post-wash tightness.,수분감|폼 클렌저|저자극 포지셔닝,히알루론산 회피 시 제외,https://torriden.us/products/dive-in-cleansing-foam,2026-05-12
round-lab-1025-dokdo-toner,큐레이션 리뷰 신호: 가벼운 데일리 토너로 여러 피부 타입에서 무난하게 언급됩니다. 강한 보습감을 원하면 크림 단계 보완이 필요합니다.,Curated review signal: A light daily toner commonly described as easy to fit across skin types. Richer hydration may need a cream step.,가벼움|데일리 토너|수분 보조,고보습 기대 시 부족할 수 있음,https://roundlab.com/products/1025-dokdo-toner,2026-05-12
torriden-dive-in-low-molecular-hyaluronic-acid-toner,큐레이션 리뷰 신호: 저분자 히알루론산 중심의 수분 토너입니다. 히알루론산을 피해야 하는 사용자는 제외하는 편이 안전합니다.,Curated review signal: A hydration toner centered on low-molecular hyaluronic acid. Users avoiding hyaluronic acid should skip it.,수분감|워터리 제형|레이어링,히알루론산 회피 시 제외,https://torriden.us/products/dive-in-toner,2026-05-12
abib-heartleaf-spot-pad-calming-touch,큐레이션 리뷰 신호: 어성초 기반의 진정 패드로 붉은기와 유분 루틴에 자주 언급됩니다. 패드 마찰에 민감하면 사용 빈도를 낮추는 편이 좋습니다.,Curated review signal: A heartleaf toner pad often mentioned for redness and oil-focused routines. Friction-sensitive skin should limit frequency.,진정|패드 편의성|유분 케어,마찰 민감 주의,https://en.abib.com/collections/skin-essentials/products/calming-touch,2026-05-12
mediheal-madecassoside-blemish-pad,큐레이션 리뷰 신호: 마데카소사이드와 나이아신아마이드 기반의 흔적 케어 패드입니다. 나이아신아마이드 민감 사용자는 피하는 편이 좋습니다.,Curated review signal: A blemish-care pad built around madecassoside and niacinamide. Niacinamide-sensitive users should avoid it.,진정|흔적 케어|패드 편의성,나이아신아마이드 민감 주의,https://medihealus.com/products/madecassoside-blemish-pad,2026-05-12
torriden-dive-in-serum,큐레이션 리뷰 신호: 수분 부족과 속건조 루틴에서 자주 선택되는 히알루론산 세럼입니다. 히알루론산 알러지 입력 시 제외 대상입니다.,Curated review signal: A hyaluronic-acid serum commonly chosen for dehydration and inner-dryness routines. It should be excluded for hyaluronic-acid allergy.,수분감|가벼운 세럼|속건조 케어,히알루론산 회피 시 제외,https://torriden.us/products/dive-in-serum,2026-05-12
mixsoon-bean-essence,큐레이션 리뷰 신호: 촉촉한 광과 매끈한 결 케어로 언급되는 에센스입니다. 유분이 많은 피부에는 사용량 조절이 필요할 수 있습니다.,Curated review signal: An essence often mentioned for dewy finish and smoother texture. Very oily skin may need to control the amount used.,윤광|결 케어|촉촉함,지성 피부 사용량 조절,https://mixsoon.us/collections/by-benefits/products/mixsoon-bean-essence-50ml,2026-05-12
goodal-green-tangerine-vita-c-dark-spot-serum,큐레이션 리뷰 신호: 비타민 C 유도체와 나이아신아마이드 기반의 잡티 케어 세럼입니다. 민감성 피부는 따가움 여부를 확인하는 편이 좋습니다.,Curated review signal: A dark-spot serum centered on vitamin C derivative and niacinamide. Sensitive skin should watch for stinging.,잡티 케어|톤 케어|가벼운 세럼,민감 피부 따가움 가능,https://goodalcosmetic.jp/products/goodal-%E3%82%B0%E3%83%BC%E3%83%80%E3%83%AB-%E3%83%AA%E3%83%8B%E3%83%A5%E3%83%BC%E3%82%A2%E3%83%AB-%E3%82%B0%E3%83%AA%E3%83%BC%E3%83%B3%E3%82%BF%E3%83%B3%E3%82%B8%E3%82%A7%E3%83%AA%E3%83%B3%E3%83%93%E3%82%BFc%E3%82%B9%E3%83%9D%E3%83%83%E3%83%88%E3%82%B1%E3%82%A2%E3%82%BB%E3%83%A9%E3%83%A0-40ml-%E7%BE%8E%E5%AE%B9%E6%B6%B2-green-tangerine-vita-c-dark-spot-care-serum,2026-05-12
beauty-of-joseon-glow-serum-propolis-niacinamide,큐레이션 리뷰 신호: 프로폴리스와 나이아신아마이드 조합으로 윤광과 유분 고민에 자주 언급됩니다. 살리실레이트 민감 사용자는 확인이 필요합니다.,Curated review signal: A propolis and niacinamide serum often mentioned for glow and oil concerns. Salicylate-sensitive users should review it carefully.,윤광|나이아신아마이드|유분 케어,살리실레이트 민감 주의,https://beautyofjoseon.com/products/glow-serum-propolis-niacinamide,2026-05-12
numbuzin-no-5-vitamin-concentrated-serum,큐레이션 리뷰 신호: 톤과 잡티 케어 목적의 비타민 세럼으로 언급됩니다. 민감성 피부는 천천히 도입하는 편이 좋습니다.,Curated review signal: A vitamin serum often mentioned for tone and dark-spot care. Sensitive skin should introduce it gradually.,비타민 케어|잡티 케어|톤 케어,민감 피부 천천히 도입,https://us.numbuzin.com/products/no-5-vitamin-concentrated-serum,2026-05-12
round-lab-pine-calming-cica-ampoule,큐레이션 리뷰 신호: 소나무 추출물과 시카 성분 기반의 진정 앰플입니다. 붉은기와 장벽 보조 루틴에 맞습니다.,Curated review signal: A calming ampoule built around pine extract and cica ingredients. It fits redness and barrier-support routines.,진정|시카 케어|가벼운 앰플,식물 추출물 민감 주의,https://roundlab.com/products/pine-tree-cica-care-ampoule,2026-05-12
illiyoon-ceramide-ato-concentrate-cream,큐레이션 리뷰 신호: 세라마이드 기반의 장벽 크림으로 건성/민감성 피부에서 자주 선택됩니다. 지성 피부에는 무겁게 느껴질 수 있습니다.,Curated review signal: A ceramide barrier cream often chosen by dry and sensitive skin. It may feel heavy for oily skin.,장벽 케어|세라마이드|고보습,지성 피부에는 무거울 수 있음,https://incidecoder.com/products/illiyoon-ceramide-ato-concentrate-cream-2027,2026-05-12
